episode,outcome,reward,loss,epsilon,buffer,moves
525,W,10.82,0.38,0.072,50000,19
526,L,1.53,0.435,0.072,50000,50
527,W,11.54,0.503,0.071,50000,35
528,W,10.43,0.354,0.071,50000,26
529,W,13.36,0.54,0.071,50000,39
530,L,-0.46,0.477,0.07,50000,44
531,W,10.93,0.303,0.07,50000,29
532,W,10.76,0.424,0.069,50000,30
533,W,10.53,0.527,0.069,50000,18
534,W,10.37,0.469,0.069,50000,23
535,W,11.51,0.425,0.068,50000,22
536,W,10.89,0.443,0.068,50000,33
537,W,11.61,0.388,0.068,50000,37
538,W,11.64,0.47,0.067,50000,31
539,W,10.76,0.304,0.067,50000,32
540,W,11.14,0.436,0.067,50000,35
541,W,12.33,0.289,0.066,50000,44
542,W,11.49,0.299,0.066,50000,43
543,W,10.92,0.306,0.066,50000,22
544,W,15.86,0.469,0.065,50000,48
545,W,11.97,0.412,0.065,50000,43
546,W,10.98,0.389,0.065,50000,28
547,W,10.9,0.381,0.064,50000,33
548,W,11.97,0.348,0.064,50000,34
549,W,10.59,0.554,0.064,50000,25
550,L,-0.8,0.614,0.063,50000,38
551,W,12.46,0.553,0.063,50000,44
552,W,13.48,0.543,0.063,50000,36
553,W,10.94,0.457,0.063,50000,29
554,W,11.46,0.33,0.062,50000,54
555,W,10.54,0.337,0.062,50000,20
556,W,11.88,0.491,0.062,50000,42
557,W,12.99,0.44,0.061,50000,44
558,W,12.15,0.545,0.061,50000,41
559,W,11.76,0.582,0.061,50000,49
560,W,10.22,0.539,0.06,50000,16
561,W,13.21,0.432,0.06,50000,46
562,W,10.46,0.678,0.06,50000,26
563,W,10.54,0.463,0.059,50000,26
564,W,12.2,0.562,0.059,50000,41
565,L,-0.31,0.336,0.059,50000,44
566,W,11.27,0.512,0.059,50000,42
567,W,11.2,0.253,0.058,50000,43
568,W,10.31,0.417,0.058,50000,13
569,W,10.51,0.606,0.058,50000,12
570,W,10.31,0.491,0.057,50000,10
571,W,10.51,0.435,0.057,50000,10
572,W,10.7,0.435,0.057,50000,12
573,W,10.38,0.526,0.057,50000,30
574,W,10.21,0.398,0.056,50000,9
575,W,10.22,0.317,0.056,50000,15
576,W,10.51,0.477,0.056,50000,17
577,W,10.5,0.588,0.055,50000,13
578,W,10.2,0.439,0.055,50000,12
